"observationID","fullVersion","datasetKey","surveyKey","sampleKey","observationKey","siteKey","siteName","featureID","location","resolution","taxonVersionKey","pTaxonVersionKey","pTaxonName","pTaxonAuthority","startDate","endDate","sensitive","absence","publicAttribute","dateTypekey","latitude","longitude"
"282868540","FALSE","GA000567","BGBW2008","BGBW2008-SAMPLE","NBN-GA000567-BGBW2008-22099233-139362928","NBN-SITE-GA000567-11360190","Stoke-on-Trent Staffordshire","1592430","SK020500","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2008-01-26,2008-01-27,"FALSE","FALSE","FALSE","DD",53.0477115796837,-1.97087126224552
"283838580","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","NBN-GA000656-BGBW2009-16493783-105545523","NBN-SITE-GA000656-9672810","Site name unavailable","439691","SK080505","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.0521507338215,-1.88135806926533
"283845235","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","NBN-GA000656-BGBW2009-16491588-105555390","NBN-SITE-GA000656-9670615","Site name unavailable","630283","SK045584","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.1232045252844,-1.93346331598815
"283872773","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","NBN-GA000656-BGBW2009-16489053-105553977","NBN-SITE-GA000656-9668080","Site name unavailable","1533860","SK011552","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.0944571707029,-1.98427968521321
"283898079","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","59704","NBN-SITE-GA000656-9671260","Site name unavailable","727382","SK055590","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.1285886483177,-1.9185102050133
"283898080","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","NBN-GA000656-BGBW2009-16492233-105554959","NBN-SITE-GA000656-9671260","Site name unavailable","727382","SK055590","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.1285886483177,-1.9185102050133
"284142686","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","NBN-GA000656-BGBW2009-16494013-105553875","NBN-SITE-GA000656-9673040","Site name unavailable","681281","SK083587","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.1258560648068,-1.87667248307007
"284191172","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","NBN-GA000656-BGBW2009-16491378-105555395","NBN-SITE-GA000656-9670405","Site name unavailable","1465053","SK042593","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.131297005264,-1.93793459585384
"284300798","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","NBN-GA000656-BGBW2009-16494155-105555133","NBN-SITE-GA000656-9673182","Site name unavailable","565890","SK085502","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.049446358844,-1.87390675809848
"284529767","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","NBN-GA000656-BGBW2009-16494084-105554131","NBN-SITE-GA000656-9673111","Site name unavailable","1074786","SK084502","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.0494479271709,-1.87539849791272
